12	3562	17
528	651	9
115	7293	23
14860	8404	23
14	2298	25
312	9141	2
324	5148	0
14	8632	12
8891	9037	0
13	3458	5
1973	2367	11
355	4002	26
128	9890	20
2	9744	0
1343	3968	3
2078	5335	22
10811	7508	23
8824	8335	16
112	2917	19
155	1793	7
109	4695	1
1042	2250	13
5789	7047	14
14	9095	25
114	8738	1
105	675	5
654	4410	0
6440	971	36
3874	3306	17
2	8609	15
1128	4199	19
114	1611	21
1217	2490	0
4130	9922	24
216	8086	6
2437	9931	11
2577	4640	7
101	9485	2
180	636	9
266	4046	4
12	2712	3
8854	6481	15
375	2261	30
9	6773	11
167	613	27
26770	5893	4
170	2520	5
885	4799	8
107	6448	1
127	7161	3
354	7183	16
210	2602	13
483	419	16
968	4152	2
6344	4785	7
1625	4869	8
7950	4557	19
204	2972	8
12	2221	7
1227	8009	1
14	8626	29
2	9173	0
174	5965	13
140	327	9
444	3205	15
7491	3632	23
746	957	17
2472	2055	1
707	9363	8
117	6912	19
105	9341	3
382	9603	18
2	2711	21
102	6173	15
118	143	19
3492	3939	23
26771	4193	3
26529	8599	13
15618	7803	16
2886	1670	22
14	6463	24
102	3101	14
959	5676	4
107	3845	4
373	4528	3
1427	7685	0
157	705	0
245	7653	9
105	5738	8
101	492	17
857	2642	13
352	8832	9
13302	9117	11
173	6208	11
14	5029	22
816	6409	16
1370	8851	10
103	4633	19
158	8982	25
144	5948	0
106	3431	30
142	9704	7
4794	6598	5
156	6660	3
4508	6528	2
4011	6189	24
15571	5105	22
558	217	10
183	1897	22
25519	5237	4
338	8639	2
2057	282	30
306	7163	10
14	5603	25
704	6267	19
11533	1470	9
117	6045	25
103	7225	26
4254	2776	15
1106	9573	5
1203	4966	16
106	7969	16
102	7205	30
7970	3784	12
2427	6452	12
16267	5832	9
126	2917	3
117	1681	20
280	967	19
130	6309	21
112	9749	6
5504	8394	0
131	3463	3
12	3158	11
104	4363	24
926	4103	6
139	3458	11
179	8763	25
844	546	14
130	8853	19
114	698	8
502	637	1
103	6987	8
12	1551	24
20430	8361	1
10366	5140	6
752	1593	20
9	608	7
269	6829	6
357	4473	14
105	1744	14
292	7472	4
12	8869	17
108	8546	2
215	722	9
621	8123	15
14074	9341	32
3340	4605	11
23324	7721	12
104	9288	20
2	613	33
639	2220	1
132	3451	8
12	2818	12
116	8445	4
12	4842	17
1108	7627	18
12	6796	23
229	2932	14
2674	2406	17
21349	9242	9
3077	2505	3
140	7692	19
104	9418	2
117	1160	20
161	8858	3
2	3319	15
9850	7391	29
189	2846	29
1774	6774	1
9192	8954	0
24127	8704	15
27049	7887	9
2529	8920	21
2371	582	16
752	913	27
107	893	6
498	6731	15
1421	4288	14
11233	8637	17
9168	9258	20
1592	4730	13
12	473	9
14	9518	15
3508	4374	0
2245	7208	11
12	4183	18
215	8687	26
113	7842	18
106	3658	3
14	2337	29
385	8774	14
2632	1413	6
2	1775	23
942	7285	20
843	7173	16
103	5241	9
423	9171	1
174	5788	24
105	9583	11
225	1311	2
